Country/Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region_x,Recovered_clean,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region_y,recovery_rate
Afghanistan,2020-07-27,36263,1269,25198,9796,106,10,18,Eastern Mediterranean,25198,Asia,39009447.0,36896.0,,1298.0,,25840.0,,9758.0,31.0,946.0,33.0,90396.0,2317.0,EasternMediterranean,0.6948680473209607
Albania,2020-07-27,4880,144,2745,1991,117,6,63,Europe,2745,Europe,2877470.0,6016.0,,188.0,,3155.0,,2673.0,23.0,2091.0,65.0,38997.0,13553.0,Europe,0.5625
Algeria,2020-07-27,27973,1163,18837,7973,616,8,749,Africa,18837,Africa,43926079.0,33626.0,,1273.0,,23238.0,,9115.0,57.0,766.0,29.0,,,Africa,0.6733993493726093
Andorra,2020-07-27,907,52,803,52,10,0,0,Europe,803,Europe,77278.0,944.0,,52.0,,828.0,,64.0,1.0,12216.0,673.0,3750.0,48526.0,Europe,0.8853362734288864
Angola,2020-07-27,950,41,242,667,18,1,0,Africa,242,Africa,32956300.0,1483.0,,64.0,,520.0,,899.0,20.0,45.0,2.0,64747.0,1965.0,Africa,0.25473684210526315
Antigua and Barbuda,2020-07-27,86,3,65,18,4,0,5,Americas,65,North America,98010.0,92.0,,3.0,,76.0,,13.0,1.0,939.0,31.0,1500.0,15305.0,Americas,0.7558139534883721
Argentina,2020-07-27,167416,3059,72575,91782,4890,120,2057,Americas,72575,South America,45236884.0,228195.0,,4251.0,,99852.0,,124092.0,1150.0,5044.0,94.0,794544.0,17564.0,Americas,0.4335009795957376
Armenia,2020-07-27,37390,711,26665,10014,73,6,187,Europe,26665,Asia,2963811.0,39819.0,,772.0,,31556.0,,7491.0,,13435.0,260.0,171600.0,57898.0,Europe,0.7131585985557636
Australia,2020-07-27,15303,167,9311,5825,368,6,137,Western Pacific,647,Australia/Oceania,25528864.0,19890.0,,255.0,,10941.0,,8694.0,52.0,779.0,10.0,4631419.0,181419.0,WesternPacific,0.6084427889956218
Austria,2020-07-27,20558,713,18246,1599,86,1,37,Europe,18246,Europe,9011577.0,21696.0,,719.0,,19596.0,,1381.0,25.0,2408.0,80.0,937275.0,104008.0,Europe,0.8875376982196712
Azerbaijan,2020-07-27,30446,423,23242,6781,396,6,558,Europe,23242,Asia,10148243.0,33247.0,,479.0,,29275.0,,3493.0,66.0,3276.0,47.0,766179.0,75499.0,Europe,0.7633843526243185
Bahamas,2020-07-27,382,11,91,280,40,0,0,Americas,91,North America,393616.0,761.0,,14.0,,91.0,,656.0,1.0,1933.0,36.0,4814.0,12230.0,Americas,0.23821989528795812
Bahrain,2020-07-27,39482,141,36110,3231,351,1,421,Eastern Mediterranean,36110,Asia,1706669.0,42889.0,,156.0,,39945.0,,2788.0,41.0,25130.0,91.0,876700.0,513691.0,EasternMediterranean,0.9145939921989767
Bangladesh,2020-07-27,226225,2965,125683,97577,2772,37,1801,South-East Asia,125683,Asia,164851401.0,249651.0,,3306.0,,143824.0,,102521.0,,1514.0,20.0,1225124.0,7432.0,South-EastAsia,0.555566360923859
Barbados,2020-07-27,110,7,94,9,0,0,0,Americas,94,North America,287411.0,133.0,,7.0,,100.0,,26.0,,463.0,24.0,12233.0,42563.0,Americas,0.8545454545454545
Belarus,2020-07-27,67251,538,60492,6221,119,4,67,Europe,60492,Europe,9449001.0,68503.0,,580.0,,63756.0,,4167.0,,7250.0,61.0,1344303.0,142269.0,Europe,0.8994959182763081
Belgium,2020-07-27,66428,9822,17452,39154,402,1,14,Europe,17452,Europe,11594739.0,71158.0,,9859.0,,17661.0,,43638.0,61.0,6137.0,850.0,1767120.0,152407.0,Europe,0.26272053953152286
Belize,2020-07-27,48,2,26,20,0,0,0,Americas,26,North America,398312.0,86.0,,2.0,,31.0,,53.0,2.0,216.0,5.0,3679.0,9236.0,Americas,0.5416666666666666
Benin,2020-07-27,1770,35,1036,699,0,0,0,Africa,1036,Africa,12151976.0,1936.0,,38.0,,1600.0,,298.0,1.0,159.0,3.0,93677.0,7709.0,Africa,0.5853107344632769
Bhutan,2020-07-27,99,0,86,13,4,0,1,South-East Asia,86,Asia,772443.0,105.0,,,,93.0,,12.0,,136.0,,54589.0,70671.0,South-EastAsia,0.8686868686868687
Bolivia,2020-07-27,71181,2647,21478,47056,1752,64,309,Americas,21478,South America,11688459.0,86423.0,1282.0,3465.0,80.0,27373.0,936.0,55585.0,71.0,7394.0,296.0,183583.0,15706.0,Americas,0.30173782329554233
Bosnia and Herzegovina,2020-07-27,10498,294,4930,5274,731,14,375,Europe,4930,Europe,3278650.0,13396.0,,384.0,,7042.0,,5970.0,,4086.0,117.0,147021.0,44842.0,Europe,0.4696132596685083
Botswana,2020-07-27,739,2,63,674,53,1,11,Africa,63,Africa,2356075.0,804.0,,2.0,,63.0,,739.0,1.0,341.0,0.8,68423.0,29041.0,Africa,0.08525033829499323
Brazil,2020-07-27,2442375,87618,1846641,508116,23284,614,33728,Americas,1846641,South America,212710692.0,2917562.0,,98644.0,,2047660.0,,771258.0,8318.0,13716.0,464.0,13206188.0,62085.0,Americas,0.7560841394134807
Brunei,2020-07-27,141,3,138,0,0,0,0,Western Pacific,138,,,,,,,,,,,,,,,,0.9787234042553191
Bulgaria,2020-07-27,10621,347,5585,4689,194,7,230,Europe,5585,Europe,6942854.0,13014.0,,435.0,,7374.0,,5205.0,47.0,1874.0,63.0,294087.0,42358.0,Europe,0.5258450240090387
Burkina Faso,2020-07-27,1100,53,926,121,14,0,6,Africa,926,Africa,20954852.0,1158.0,,54.0,,961.0,,143.0,,55.0,3.0,,,Africa,0.8418181818181818
Burma,2020-07-27,350,6,292,52,0,0,2,South-East Asia,292,,,,,,,,,,,,,,,,0.8342857142857143
Burundi,2020-07-27,378,1,301,76,17,0,22,Africa,301,Africa,11922216.0,395.0,,1.0,,304.0,,90.0,,33.0,0.08,15614.0,1310.0,Africa,0.7962962962962963
Cabo Verde,2020-07-27,2328,22,1550,756,21,0,103,Africa,1550,Africa,556581.0,2734.0,,27.0,,2010.0,,697.0,,4912.0,49.0,61633.0,110735.0,Africa,0.665807560137457
Cambodia,2020-07-27,226,0,147,79,1,0,4,Western Pacific,147,Asia,16741375.0,243.0,,,,210.0,,33.0,1.0,15.0,,67807.0,4050.0,WesternPacific,0.6504424778761062
Cameroon,2020-07-27,17110,391,14539,2180,402,6,0,Africa,14539,Africa,26606188.0,17718.0,,391.0,,15320.0,,2007.0,30.0,666.0,15.0,149000.0,5600.0,Africa,0.8497369959088252
Canada,2020-07-27,116458,8944,0,107514,682,11,0,Americas,0,North America,37775022.0,118561.0,,8966.0,,103106.0,,6489.0,2263.0,3139.0,237.0,4319172.0,114339.0,Americas,0.0
Central African Republic,2020-07-27,4599,59,1546,2994,0,0,0,Africa,1546,,,,,,,,,,,,,,,,0.33616003479017176
Chad,2020-07-27,922,75,810,37,7,0,0,Africa,810,Africa,16467965.0,942.0,,76.0,,838.0,,28.0,,57.0,5.0,,,Africa,0.8785249457700651
Chile,2020-07-27,347923,9187,319954,18782,2133,75,1859,Americas,319954,South America,19132514.0,366671.0,,9889.0,,340168.0,,16614.0,1358.0,19165.0,517.0,1760615.0,92022.0,Americas,0.9196115232393375
China,2020-07-27,86783,4656,78869,3258,213,4,7,Western Pacific,1268,,,,,,,,,,,,,,,,0.9088070244172246
Colombia,2020-07-27,257101,8777,131161,117163,16306,508,11494,Americas,131161,South America,50936262.0,357710.0,,11939.0,,192355.0,,153416.0,1493.0,7023.0,234.0,1801835.0,35374.0,Americas,0.5101535972244371
Comoros,2020-07-27,354,7,328,19,0,0,0,Africa,328,Africa,871326.0,396.0,,7.0,,340.0,,49.0,,454.0,8.0,,,Africa,0.9265536723163842
Congo (Brazzaville),2020-07-27,3200,54,829,2317,162,3,73,Africa,829,,,,,,,,,,,,,,,,0.2590625
Congo (Kinshasa),2020-07-27,8844,208,5700,2936,13,4,190,Africa,5700,,,,,,,,,,,,,,,,0.6445047489823609
Costa Rica,2020-07-27,15841,115,3824,11902,612,11,88,Americas,3824,North America,5098730.0,21070.0,,200.0,,7038.0,,13832.0,103.0,4132.0,39.0,96110.0,18850.0,Americas,0.24139890158449592
Cote d'Ivoire,2020-07-27,15655,96,10361,5198,59,0,183,Africa,10361,,,,,,,,,,,,,,,,0.6618332801022038
Croatia,2020-07-27,4881,139,3936,806,24,3,70,Europe,3936,Europe,4102577.0,5404.0,,155.0,,4688.0,,561.0,7.0,1317.0,38.0,125317.0,30546.0,Europe,0.8063921327596804
Cuba,2020-07-27,2532,87,2351,94,37,0,2,Americas,2351,North America,11325899.0,2775.0,,88.0,,2409.0,,278.0,4.0,245.0,8.0,285471.0,25205.0,Americas,0.9285150078988942
Cyprus,2020-07-27,1060,19,852,189,3,0,0,Europe,852,Asia,1208238.0,1208.0,,19.0,,856.0,,333.0,,1000.0,16.0,216597.0,179267.0,Europe,0.8037735849056604
Czechia,2020-07-27,15516,373,11428,3715,192,2,0,Europe,11428,Europe,10711019.0,17731.0,,390.0,,12320.0,,5021.0,17.0,1655.0,36.0,728670.0,68030.0,Europe,0.7365300335137922
Denmark,2020-07-27,13761,613,12605,543,109,0,77,Europe,188,Europe,5794279.0,14306.0,,617.0,,12787.0,,902.0,2.0,2469.0,106.0,1654512.0,285542.0,Europe,0.9159944771455563
Djibouti,2020-07-27,5059,58,4977,24,9,0,11,Eastern Mediterranean,4977,Africa,989387.0,5330.0,,59.0,,5057.0,,214.0,,5387.0,60.0,59909.0,60552.0,EasternMediterranean,0.9837912630954734
Dominica,2020-07-27,18,0,18,0,0,0,0,Americas,18,North America,72004.0,18.0,,,,18.0,,0.0,,250.0,,1005.0,13958.0,Americas,1.0
Dominican Republic,2020-07-27,64156,1083,30204,32869,1248,20,1601,Americas,30204,North America,10858648.0,76536.0,,1246.0,,40539.0,,34751.0,317.0,7048.0,115.0,281926.0,25963.0,Americas,0.4707899494980984
Ecuador,2020-07-27,81161,5532,34896,40733,467,17,0,Americas,34896,South America,17668824.0,90537.0,,5877.0,,71318.0,,13342.0,378.0,5124.0,333.0,258582.0,14635.0,Americas,0.429960202560343
Egypt,2020-07-27,92482,4652,34838,52992,420,46,1007,Eastern Mediterranean,34838,Africa,102516525.0,95006.0,,4951.0,,48898.0,,41157.0,41.0,927.0,48.0,135000.0,1317.0,EasternMediterranean,0.37670033087519733
El Salvador,2020-07-27,15035,408,7778,6849,405,8,130,Americas,7778,North America,6489514.0,19126.0,,513.0,,9236.0,,9377.0,509.0,2947.0,79.0,251271.0,38720.0,Americas,0.5173262387761889
Equatorial Guinea,2020-07-27,3071,51,842,2178,0,0,0,Africa,842,Africa,1407001.0,4821.0,,83.0,,2182.0,,2556.0,,3426.0,59.0,44356.0,31525.0,Africa,0.27417779225008143
Eritrea,2020-07-27,265,0,191,74,2,0,2,Africa,191,Africa,3551175.0,282.0,,,,225.0,,57.0,,79.0,,,,Africa,0.720754716981132
Estonia,2020-07-27,2034,69,1923,42,0,0,1,Europe,1923,Europe,1326627.0,2124.0,,63.0,,1954.0,,107.0,,1601.0,47.0,122880.0,92626.0,Europe,0.9454277286135693
Eswatini,2020-07-27,2316,34,1025,1257,109,2,39,Africa,1025,Africa,1161348.0,2968.0,,55.0,,1476.0,,1437.0,5.0,2556.0,47.0,20784.0,17896.0,Africa,0.442573402417962
Ethiopia,2020-07-27,14547,228,6386,7933,579,5,170,Africa,6386,Africa,115223736.0,20900.0,,365.0,,9027.0,,11508.0,185.0,181.0,3.0,468814.0,4069.0,Africa,0.4389908572214202
Fiji,2020-07-27,27,0,18,9,0,0,0,Western Pacific,18,Australia/Oceania,897095.0,27.0,,1.0,,18.0,,8.0,,30.0,1.0,6693.0,7461.0,WesternPacific,0.6666666666666666
Finland,2020-07-27,7398,329,6920,149,5,0,0,Europe,6920,Europe,5541604.0,7532.0,,331.0,,6980.0,,221.0,,1359.0,60.0,389500.0,70287.0,Europe,0.9353879426872128
France,2020-07-27,220352,30212,81212,108928,2551,17,267,Europe,1,Europe,65288306.0,195633.0,,30312.0,,82460.0,,82861.0,384.0,2996.0,464.0,3992206.0,61147.0,Europe,0.36855576532094103
Gabon,2020-07-27,7189,49,4682,2458,205,0,219,Africa,4682,Africa,2230563.0,7787.0,,51.0,,5609.0,,2127.0,11.0,3491.0,23.0,85369.0,38272.0,Africa,0.6512727778550563
Gambia,2020-07-27,326,8,66,252,49,2,6,Africa,66,Africa,2422754.0,935.0,,16.0,,136.0,,783.0,,386.0,7.0,5183.0,2139.0,Africa,0.20245398773006135
Georgia,2020-07-27,1137,16,922,199,6,0,2,Europe,922,Asia,3988368.0,1206.0,,17.0,,987.0,,202.0,,302.0,4.0,240473.0,60294.0,Europe,0.810905892700088
Germany,2020-07-27,207112,9125,190314,7673,445,1,259,Europe,190314,Europe,83811260.0,215210.0,,9252.0,,196200.0,,9758.0,236.0,2568.0,110.0,8586648.0,102452.0,Europe,0.9188941249179188
Ghana,2020-07-27,33624,168,29801,3655,655,0,307,Africa,29801,Africa,31133483.0,39642.0,,199.0,,36384.0,,3059.0,7.0,1273.0,6.0,405817.0,13035.0,Africa,0.8863014513442778
Greece,2020-07-27,4227,202,1374,2651,34,0,0,Europe,1374,Europe,10417673.0,5123.0,,210.0,,1374.0,,3539.0,14.0,492.0,20.0,619393.0,59456.0,Europe,0.32505322924059615
Greenland,2020-07-27,14,0,13,1,1,0,0,Europe,13,North America,56780.0,14.0,,,,14.0,,0.0,,247.0,,5977.0,105266.0,Europe,0.9285714285714286
Grenada,2020-07-27,23,0,23,0,0,0,0,Americas,23,North America,112576.0,24.0,,,,23.0,,1.0,,213.0,,6252.0,55536.0,Americas,1.0
Guatemala,2020-07-27,45309,1761,32455,11093,256,27,843,Americas,32455,North America,17946899.0,54339.0,,2119.0,,42070.0,,10150.0,5.0,3028.0,118.0,172712.0,9624.0,Americas,0.7163036041404578
Guinea,2020-07-27,7055,45,6257,753,47,2,105,Africa,6257,Africa,13164905.0,7664.0,,49.0,,6757.0,,858.0,24.0,582.0,4.0,14407.0,1094.0,Africa,0.886888731396173
Guinea-Bissau,2020-07-27,1954,26,803,1125,0,0,0,Africa,803,Africa,1972277.0,2032.0,,27.0,,944.0,,1061.0,5.0,1030.0,14.0,1500.0,761.0,Africa,0.4109518935516888
Guyana,2020-07-27,389,20,181,188,19,0,0,Americas,181,South America,786936.0,538.0,,22.0,,189.0,,327.0,2.0,684.0,28.0,5165.0,6563.0,Americas,0.4652956298200514
Haiti,2020-07-27,7340,158,4365,2817,25,1,0,Americas,4365,North America,11416103.0,7544.0,,171.0,,4832.0,,2541.0,,661.0,15.0,18443.0,1616.0,Americas,0.5946866485013624
Holy See,2020-07-27,12,0,12,0,0,0,0,Europe,12,,,,,,,,,,,,,,,,1.0
Honduras,2020-07-27,39741,1166,5039,33536,465,50,117,Americas,5039,North America,9919704.0,45098.0,,1423.0,,6116.0,,37559.0,52.0,4546.0,143.0,109292.0,11018.0,Americas,0.1267960041267205
Hungary,2020-07-27,4448,596,3329,523,13,0,0,Europe,3329,Europe,9657785.0,4597.0,,600.0,,3463.0,,534.0,8.0,476.0,62.0,352546.0,36504.0,Europe,0.7484262589928058
Iceland,2020-07-27,1854,10,1823,21,7,0,0,Europe,1823,Europe,341465.0,1930.0,,10.0,,1825.0,,95.0,,5652.0,29.0,149693.0,438385.0,Europe,0.9832793959007551
India,2020-07-27,1480073,33408,951166,495499,44457,637,33598,South-East Asia,951166,Asia,1381344997.0,2025409.0,,41638.0,,1377384.0,,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia,0.6426480315497952
Indonesia,2020-07-27,100303,4838,58173,37292,1525,57,1518,South-East Asia,58173,Asia,273808365.0,118753.0,,5521.0,,75645.0,,37587.0,,434.0,20.0,1633156.0,5965.0,South-EastAsia,0.5799726827712033
Iran,2020-07-27,293606,15912,255144,22550,2434,212,1931,Eastern Mediterranean,255144,Asia,84097623.0,320117.0,,17976.0,,277463.0,,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean,0.8690013146870296
Iraq,2020-07-27,112585,4458,77144,30983,2553,96,1927,Eastern Mediterranean,77144,Asia,40306025.0,140603.0,,5161.0,,101025.0,,34417.0,517.0,3488.0,128.0,1092741.0,27111.0,EasternMediterranean,0.6852067326908557
Ireland,2020-07-27,25892,1764,23364,764,11,0,0,Europe,23364,Europe,4943200.0,26372.0,,1768.0,,23364.0,,1240.0,5.0,5335.0,358.0,652917.0,132084.0,Europe,0.9023636644523405
Israel,2020-07-27,63985,474,27133,36378,2029,4,108,Europe,27133,Asia,9197590.0,79559.0,,576.0,,53427.0,,25556.0,358.0,8650.0,63.0,1872453.0,203581.0,Europe,0.42405251230757207
Italy,2020-07-27,246286,35112,198593,12581,168,5,147,Europe,198593,Europe,60452568.0,249204.0,,35187.0,,201323.0,,12694.0,42.0,4122.0,582.0,7099713.0,117443.0,Europe,0.8063511527248808
Jamaica,2020-07-27,853,10,714,129,11,0,0,Americas,714,North America,2962478.0,958.0,30.0,12.0,,745.0,,201.0,,323.0,4.0,41840.0,14123.0,Americas,0.8370457209847597
Japan,2020-07-27,31142,998,21970,8174,594,0,364,Western Pacific,21970,Asia,126435859.0,42263.0,,1026.0,,28877.0,,12360.0,115.0,334.0,8.0,938739.0,7425.0,WesternPacific,0.705478132425663
Jordan,2020-07-27,1176,11,1041,124,8,0,0,Eastern Mediterranean,1041,Asia,10213138.0,1232.0,,11.0,,1171.0,,50.0,3.0,121.0,1.0,628745.0,61562.0,EasternMediterranean,0.8852040816326531
Kazakhstan,2020-07-27,84648,585,54404,29659,1526,0,1833,Europe,54404,Asia,18798667.0,95942.0,,1058.0,,68871.0,,26013.0,221.0,5104.0,56.0,2163713.0,115099.0,Europe,0.6427086286740383
Kenya,2020-07-27,17975,285,7833,9857,372,5,90,Africa,7833,Africa,53881160.0,24411.0,,399.0,,10444.0,,13568.0,44.0,453.0,7.0,335318.0,6223.0,Africa,0.4357719054242003
Kosovo,2020-07-27,7413,185,4027,3201,496,16,274,Europe,4027,,,,,,,,,,,,,,,,0.5432348576824497
