Country/Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region_x,Recovered_clean,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region_y,recovery_rate
Kuwait,2020-07-27,64379,438,55057,8884,606,5,684,Eastern Mediterranean,55057,Asia,4276658.0,70045.0,,469.0,,61610.0,,7966.0,127.0,16378.0,110.0,522200.0,122105.0,EasternMediterranean,0.8552012302148216
Kyrgyzstan,2020-07-27,33296,1301,21205,10790,483,24,817,Europe,21205,Asia,6534479.0,38659.0,,1447.0,,30099.0,,7113.0,24.0,5916.0,221.0,267718.0,40970.0,Europe,0.6368632868813071
Laos,2020-07-27,20,0,19,1,0,0,0,Western Pacific,19,Asia,7285750.0,20.0,,,,19.0,,1.0,,3.0,,29374.0,4032.0,WesternPacific,0.95
Latvia,2020-07-27,1219,31,1045,143,0,0,0,Europe,1045,Europe,1883936.0,1275.0,,32.0,,1070.0,,173.0,,677.0,17.0,207909.0,110359.0,Europe,0.8572600492206727
Lebanon,2020-07-27,3882,51,1709,2122,132,0,17,Eastern Mediterranean,1709,Asia,6822220.0,5672.0,,70.0,,1974.0,,3628.0,46.0,831.0,10.0,345268.0,50609.0,EasternMediterranean,0.440236991241628
Lesotho,2020-07-27,505,12,128,365,0,0,0,Africa,128,Africa,2143943.0,742.0,,23.0,,175.0,,544.0,,346.0,11.0,8771.0,4091.0,Africa,0.25346534653465347
Liberia,2020-07-27,1167,72,646,449,5,0,5,Africa,646,Africa,5068618.0,1224.0,,78.0,,705.0,,441.0,,241.0,15.0,,,Africa,0.5535561268209083
Libya,2020-07-27,2827,64,577,2186,158,4,24,Eastern Mediterranean,577,Africa,6880353.0,4879.0,,107.0,,652.0,,4120.0,,709.0,16.0,59699.0,8677.0,EasternMediterranean,0.20410328970640254
Liechtenstein,2020-07-27,86,1,81,4,0,0,0,Europe,81,Europe,38139.0,89.0,,1.0,,85.0,,3.0,,2334.0,26.0,900.0,23598.0,Europe,0.9418604651162791
Lithuania,2020-07-27,2019,80,1620,319,11,0,4,Europe,1620,Europe,2718121.0,2171.0,,81.0,,1656.0,,434.0,6.0,799.0,30.0,540784.0,198955.0,Europe,0.8023774145616642
Luxembourg,2020-07-27,6321,112,4825,1384,49,0,178,Europe,4825,Europe,626952.0,7073.0,,119.0,,5750.0,,1204.0,9.0,11282.0,190.0,623994.0,995282.0,Europe,0.763328587248853
Madagascar,2020-07-27,9690,91,6260,3339,395,6,681,Africa,6260,Africa,27755708.0,12526.0,,134.0,,10148.0,,2244.0,88.0,451.0,5.0,46301.0,1668.0,Africa,0.6460268317853457
Malawi,2020-07-27,3664,99,1645,1920,24,0,6,Africa,1645,Africa,19174839.0,4491.0,,137.0,,2137.0,,2217.0,4.0,234.0,7.0,33466.0,1745.0,Africa,0.4489628820960699
Malaysia,2020-07-27,8904,124,8601,179,7,0,1,Western Pacific,8601,Asia,32406372.0,9038.0,,125.0,,8713.0,,200.0,2.0,279.0,4.0,991333.0,30591.0,WesternPacific,0.9659703504043127
Maldives,2020-07-27,3369,15,2547,807,67,0,19,South-East Asia,2547,Asia,541448.0,4680.0,,19.0,,2725.0,,1936.0,12.0,8643.0,35.0,85587.0,158071.0,South-EastAsia,0.7560106856634016
Mali,2020-07-27,2513,124,1913,476,3,1,2,Africa,1913,Africa,20302901.0,2552.0,,124.0,,1954.0,,474.0,,126.0,6.0,25152.0,1239.0,Africa,0.761241543971349
Malta,2020-07-27,701,9,665,27,1,0,0,Europe,665,Europe,441663.0,946.0,,9.0,,670.0,,267.0,,2142.0,20.0,136713.0,309541.0,Europe,0.948644793152639
Mauritania,2020-07-27,6208,156,4653,1399,37,0,223,Africa,4653,Africa,4660728.0,6444.0,,157.0,,5291.0,,996.0,3.0,1383.0,34.0,57387.0,12313.0,Africa,0.7495167525773195
Mauritius,2020-07-27,344,10,332,2,0,0,0,Africa,332,Africa,1271985.0,344.0,,10.0,,334.0,,0.0,,270.0,8.0,205285.0,161389.0,Africa,0.9651162790697675
Mexico,2020-07-27,395489,44022,303810,47657,4973,342,8588,Americas,303810,North America,129066160.0,462690.0,6590.0,50517.0,819.0,308848.0,4140.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0,Americas,0.7681882429094109
Moldova,2020-07-27,23154,748,16154,6252,120,13,245,Europe,16154,Europe,4032983.0,26628.0,,828.0,,18676.0,,7124.0,362.0,6603.0,205.0,128076.0,31757.0,Europe,0.6976764273991535
Monaco,2020-07-27,116,4,104,8,0,0,0,Europe,104,Europe,39270.0,125.0,,4.0,,105.0,,16.0,2.0,3183.0,102.0,38209.0,972982.0,Europe,0.896551724137931
Mongolia,2020-07-27,289,0,222,67,1,0,4,Western Pacific,222,Asia,3283344.0,293.0,,,,260.0,,33.0,1.0,89.0,,38334.0,11675.0,WesternPacific,0.7681660899653979
Montenegro,2020-07-27,2893,45,809,2039,94,2,70,Europe,809,Europe,628074.0,3480.0,,60.0,,2178.0,,1242.0,,5541.0,96.0,38427.0,61182.0,Europe,0.27964051157967507
Morocco,2020-07-27,20887,316,16553,4018,609,3,115,Eastern Mediterranean,16553,Africa,36953359.0,29644.0,,449.0,,20553.0,,8642.0,31.0,802.0,12.0,1383816.0,37448.0,EasternMediterranean,0.7925025135251592
Mozambique,2020-07-27,1701,11,0,1690,32,0,0,Africa,0,Africa,31333962.0,2120.0,,15.0,,795.0,,1310.0,,68.0,0.5,65151.0,2079.0,Africa,0.0
Namibia,2020-07-27,1843,8,101,1734,68,0,26,Africa,101,Africa,2545264.0,2652.0,,15.0,,563.0,,2074.0,24.0,1042.0,6.0,29233.0,11485.0,Africa,0.05480195333695062
Nepal,2020-07-27,18752,48,13754,4950,139,3,626,South-East Asia,13754,Asia,29186486.0,21750.0,,65.0,,15389.0,,6296.0,,745.0,2.0,731977.0,25079.0,South-EastAsia,0.7334684300341296
Netherlands,2020-07-27,53413,6160,189,47064,419,1,0,Europe,0,Europe,17138756.0,56982.0,,6153.0,,,,,37.0,3325.0,359.0,1079860.0,63007.0,Europe,0.0035384644187744555
New Zealand,2020-07-27,1557,22,1514,21,1,0,1,Western Pacific,1514,Australia/Oceania,5002100.0,1569.0,,22.0,,1524.0,,23.0,,314.0,4.0,486943.0,97348.0,WesternPacific,0.9723827874116892
Nicaragua,2020-07-27,3439,108,2492,839,0,0,0,Americas,2492,North America,6632263.0,3902.0,,123.0,,2913.0,,866.0,,588.0,19.0,,,Americas,0.7246292526897354
Niger,2020-07-27,1132,69,1027,36,0,0,0,Africa,1027,Africa,24281433.0,1153.0,,69.0,,1057.0,,27.0,,47.0,3.0,9052.0,373.0,Africa,0.907243816254417
Nigeria,2020-07-27,41180,860,18203,22117,648,2,829,Africa,18203,Africa,206606300.0,45244.0,,930.0,,32430.0,,11884.0,7.0,219.0,5.0,306894.0,1485.0,Africa,0.4420349684312773
North Macedonia,2020-07-27,10213,466,5564,4183,127,6,137,Europe,5564,Europe,2083365.0,11399.0,,517.0,,7480.0,,3402.0,3.0,5471.0,248.0,109946.0,52773.0,Europe,0.5447958484284735
Norway,2020-07-27,9132,255,8752,125,15,0,0,Europe,8752,Europe,5425471.0,9468.0,,256.0,,8857.0,,355.0,3.0,1745.0,47.0,472841.0,87152.0,Europe,0.9583880858519492
Oman,2020-07-27,77058,393,57028,19637,1053,9,1729,Eastern Mediterranean,57028,Asia,5118446.0,80713.0,,492.0,,70910.0,,9311.0,177.0,15769.0,96.0,309212.0,60411.0,EasternMediterranean,0.7400659243686574
Pakistan,2020-07-27,274289,5842,241026,27421,1176,20,3592,Eastern Mediterranean,241026,Asia,221295851.0,281863.0,,6035.0,,256058.0,,19770.0,809.0,1274.0,27.0,2058872.0,9304.0,EasternMediterranean,0.8787300985456945
Panama,2020-07-27,61442,1322,35086,25034,1146,28,955,Americas,35086,North America,4321282.0,71418.0,,1574.0,,45658.0,,24186.0,161.0,16527.0,364.0,240995.0,55769.0,Americas,0.5710426092900621
Papua New Guinea,2020-07-27,62,0,11,51,0,0,0,Western Pacific,11,Australia/Oceania,8963009.0,163.0,,3.0,,53.0,,107.0,,18.0,0.3,10808.0,1206.0,WesternPacific,0.1774193548387097
Paraguay,2020-07-27,4548,43,2905,1600,104,2,111,Americas,2905,South America,7141091.0,6375.0,,66.0,,4974.0,,1335.0,23.0,893.0,9.0,135277.0,18943.0,Americas,0.6387423043095867
Peru,2020-07-27,389717,18418,272547,98752,13756,575,4697,Americas,272547,South America,33016319.0,455409.0,,20424.0,,310337.0,,124648.0,1426.0,13793.0,619.0,2493429.0,75521.0,Americas,0.6993459356404775
Philippines,2020-07-27,82040,1945,26446,53649,1592,13,336,Western Pacific,26446,Asia,109722719.0,119460.0,,2150.0,,66837.0,,50473.0,239.0,1089.0,20.0,1669996.0,15220.0,WesternPacific,0.32235494880546073
Poland,2020-07-27,43402,1676,32856,8870,337,5,103,Europe,32856,Europe,37842302.0,49515.0,,1774.0,,35642.0,,12099.0,72.0,1308.0,47.0,2374686.0,62752.0,Europe,0.7570158057232386
Portugal,2020-07-27,50299,1719,35375,13205,135,2,158,Europe,35375,Europe,10193593.0,52061.0,,1743.0,,37840.0,,12478.0,42.0,5107.0,171.0,1705474.0,167308.0,Europe,0.7032943000854888
Qatar,2020-07-27,109597,165,106328,3104,292,0,304,Eastern Mediterranean,106328,Asia,2807805.0,112092.0,,178.0,,108831.0,,3083.0,77.0,39922.0,63.0,511000.0,181993.0,EasternMediterranean,0.9701725412191939
Romania,2020-07-27,45902,2206,25794,17902,1104,19,151,Europe,25794,Europe,19224023.0,57895.0,,2566.0,,28992.0,,26337.0,458.0,3012.0,133.0,1319369.0,68631.0,Europe,0.5619362990719359
Russia,2020-07-27,816680,13334,602249,201097,5607,85,3077,Europe,602249,Europe,145940924.0,871894.0,,14606.0,,676357.0,,180931.0,2300.0,5974.0,100.0,29716907.0,203623.0,Europe,0.7374357153352599
Rwanda,2020-07-27,1879,5,975,899,58,0,57,Africa,975,Africa,12981546.0,2111.0,,5.0,,1258.0,,848.0,,163.0,0.4,286251.0,22051.0,Africa,0.5188930282064929
Saint Kitts and Nevis,2020-07-27,17,0,15,2,0,0,0,Americas,15,North America,53237.0,17.0,,,,16.0,,1.0,,319.0,,1146.0,21526.0,Americas,0.8823529411764706
Saint Lucia,2020-07-27,24,0,22,2,0,0,0,Americas,22,North America,183712.0,25.0,,,,24.0,,1.0,,136.0,,3895.0,21202.0,Americas,0.9166666666666666
Saint Vincent and the Grenadines,2020-07-27,52,0,39,13,0,0,0,Americas,39,,,,,,,,,,,,,,,,0.75
San Marino,2020-07-27,699,42,657,0,0,0,0,Europe,657,Europe,33938.0,699.0,,42.0,,657.0,,0.0,,20596.0,1238.0,6068.0,178797.0,Europe,0.9399141630901288
Sao Tome and Principe,2020-07-27,865,14,734,117,2,0,38,Africa,734,Africa,219544.0,878.0,,15.0,,797.0,,66.0,,3999.0,68.0,3079.0,14025.0,Africa,0.8485549132947977
Saudi Arabia,2020-07-27,268934,2760,222936,43238,1993,27,2613,Eastern Mediterranean,222936,Asia,34865919.0,284226.0,,3055.0,,247089.0,,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0,EasternMediterranean,0.8289617526976879
Senegal,2020-07-27,9764,194,6477,3093,83,3,68,Africa,6477,Africa,16783877.0,10715.0,,223.0,,7101.0,,3391.0,33.0,638.0,13.0,114761.0,6838.0,Africa,0.6633551823023351
Serbia,2020-07-27,24141,543,0,23598,411,9,0,Europe,0,Europe,8733665.0,27332.0,,621.0,,14047.0,,12664.0,120.0,3129.0,71.0,723137.0,82799.0,Europe,0.0
Seychelles,2020-07-27,114,0,39,75,0,0,0,Africa,39,Africa,98408.0,126.0,,,,124.0,,2.0,,1280.0,,,,Africa,0.34210526315789475
Sierra Leone,2020-07-27,1783,66,1317,400,0,0,4,Africa,1317,Africa,7992169.0,1877.0,,67.0,,1427.0,,383.0,,235.0,8.0,,,Africa,0.7386427369601795
Singapore,2020-07-27,50838,27,45692,5119,469,0,171,Western Pacific,45692,Asia,5854932.0,54555.0,,27.0,,48031.0,,6497.0,,9318.0,5.0,1474372.0,251817.0,WesternPacific,0.8987765057634053
Slovakia,2020-07-27,2181,28,1616,537,2,0,39,Europe,1616,Europe,5459915.0,2480.0,,29.0,,1824.0,,627.0,2.0,454.0,5.0,272322.0,49877.0,Europe,0.7409445208619899
Slovenia,2020-07-27,2087,116,1733,238,5,0,55,Europe,1733,Europe,2078968.0,2223.0,,125.0,,1909.0,,189.0,2.0,1069.0,60.0,135702.0,65274.0,Europe,0.8303785337805463
Somalia,2020-07-27,3196,93,1543,1560,18,0,22,Eastern Mediterranean,1543,Africa,15933012.0,3227.0,,93.0,,1728.0,,1406.0,2.0,203.0,6.0,,,EasternMediterranean,0.4827909887359199
South Africa,2020-07-27,452529,7067,274925,170537,7096,298,9848,Africa,274925,Africa,59381566.0,538184.0,,9604.0,,387316.0,,141264.0,539.0,9063.0,162.0,3149807.0,53044.0,Africa,0.6075301251411511
South Korea,2020-07-27,14203,300,13007,896,28,1,102,Western Pacific,13007,,,,,,,,,,,,,,,,0.9157924382172781
South Sudan,2020-07-27,2305,46,1175,1084,43,1,0,Africa,1175,Africa,11206572.0,2450.0,,47.0,,1175.0,,1228.0,,219.0,4.0,12044.0,1075.0,Africa,0.5097613882863341
Spain,2020-07-27,272421,28432,150376,93613,0,0,0,Europe,150376,Europe,46756648.0,354530.0,,28500.0,,,,,617.0,7582.0,610.0,7064329.0,151087.0,Europe,0.5519985610507266
Sri Lanka,2020-07-27,2805,11,2121,673,23,0,15,South-East Asia,2121,Asia,21422362.0,2839.0,,11.0,,2541.0,,287.0,1.0,133.0,0.5,166737.0,7783.0,South-EastAsia,0.7561497326203208
Sudan,2020-07-27,11424,720,5939,4765,39,3,49,Eastern Mediterranean,5939,Africa,43943536.0,11780.0,,763.0,,6194.0,,4823.0,,268.0,17.0,401.0,9.0,EasternMediterranean,0.5198704481792717
Suriname,2020-07-27,1483,24,925,534,44,1,35,Americas,925,South America,587154.0,2096.0,,29.0,,1446.0,,621.0,9.0,3570.0,49.0,2785.0,4743.0,Americas,0.6237356709372893
Sweden,2020-07-27,79395,5700,0,73695,398,3,0,Europe,0,Europe,10105596.0,81967.0,,5766.0,,,,,38.0,8111.0,571.0,863315.0,85429.0,Europe,0.0
Switzerland,2020-07-27,34477,1978,30900,1599,65,1,200,Europe,30900,Europe,8660952.0,36108.0,,1985.0,,31600.0,,2523.0,23.0,4169.0,229.0,822764.0,94997.0,Europe,0.8962496736955071
Syria,2020-07-27,674,40,0,634,24,2,0,Eastern Mediterranean,0,Asia,17539600.0,999.0,,48.0,,311.0,,640.0,,57.0,3.0,,,EasternMediterranean,0.0
Taiwan*,2020-07-27,462,7,440,15,4,0,0,Western Pacific,440,,,,,,,,,,,,,,,,0.9523809523809523
Tajikistan,2020-07-27,7235,60,6028,1147,43,1,58,Europe,6028,Asia,9557468.0,7665.0,,62.0,,6443.0,,1160.0,,802.0,6.0,,,Europe,0.8331720801658604
Tanzania,2020-07-27,509,21,183,305,0,0,0,Africa,183,Africa,59886383.0,509.0,,21.0,,183.0,,305.0,7.0,8.0,0.4,,,Africa,0.35952848722986247
Thailand,2020-07-27,3297,58,3111,128,6,0,2,South-East Asia,3111,Asia,69817894.0,3330.0,,58.0,,3148.0,,124.0,1.0,48.0,0.8,749213.0,10731.0,South-EastAsia,0.9435850773430391
Timor-Leste,2020-07-27,24,0,0,24,0,0,0,South-East Asia,0,Asia,1320812.0,25.0,,,,24.0,,1.0,,19.0,,4238.0,3209.0,South-EastAsia,0.0
Togo,2020-07-27,874,18,607,249,6,0,8,Africa,607,Africa,8296582.0,1012.0,,22.0,,697.0,,293.0,2.0,122.0,3.0,45767.0,5516.0,Africa,0.6945080091533181
Trinidad and Tobago,2020-07-27,148,8,128,12,1,0,0,Americas,128,North America,1399950.0,210.0,,8.0,,135.0,,67.0,,150.0,6.0,9559.0,6828.0,Americas,0.8648648648648649
Tunisia,2020-07-27,1455,50,1157,248,3,0,15,Eastern Mediterranean,1157,Africa,11830801.0,1642.0,,51.0,,1241.0,,350.0,9.0,139.0,4.0,100298.0,8478.0,EasternMediterranean,0.7951890034364261
Turkey,2020-07-27,227019,5630,210469,10920,919,17,982,Europe,210469,Asia,84428331.0,237265.0,,5798.0,,220546.0,,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe,0.927098612891432
US,2020-07-27,4290259,148011,1325804,2816444,56336,1076,27941,Americas,1325804,,,,,,,,,,,,,,,,0.3090265645966829
Uganda,2020-07-27,1128,2,986,140,13,0,4,Africa,986,Africa,45867852.0,1223.0,,5.0,,1102.0,,116.0,,27.0,0.1,288367.0,6287.0,Africa,0.874113475177305
Ukraine,2020-07-27,67096,1636,37202,28258,835,11,317,Europe,37202,Europe,43705858.0,76808.0,,1819.0,,42524.0,,32465.0,158.0,1757.0,42.0,1116641.0,25549.0,Europe,0.5544592822224872
United Arab Emirates,2020-07-27,59177,345,52510,6322,264,1,328,Eastern Mediterranean,52510,,,,,,,,,,,,,,,,0.8873379860418744
United Kingdom,2020-07-27,301708,45844,1437,254427,688,7,3,Europe,13,,,,,,,,,,,,,,,,0.0047628833176448756
Uruguay,2020-07-27,1202,35,951,216,10,1,3,Americas,951,South America,3474956.0,1318.0,,37.0,,1079.0,,202.0,2.0,379.0,11.0,126956.0,36535.0,Americas,0.7911813643926788
Uzbekistan,2020-07-27,21209,121,11674,9414,678,5,569,Europe,11674,Asia,33516027.0,28315.0,,175.0,,19291.0,,8849.0,228.0,845.0,5.0,1377915.0,41112.0,Europe,0.5504267056438304
Venezuela,2020-07-27,15988,146,9959,5883,525,4,213,Americas,9959,South America,28427499.0,22299.0,,195.0,,12146.0,,9958.0,42.0,784.0,7.0,1567431.0,55138.0,Americas,0.6229046785088816
Vietnam,2020-07-27,431,0,365,66,11,0,0,Western Pacific,365,Asia,97425470.0,747.0,,10.0,,392.0,,345.0,,8.0,0.1,482456.0,4952.0,WesternPacific,0.8468677494199536
West Bank and Gaza,2020-07-27,10621,78,3752,6791,152,2,0,Eastern Mediterranean,3752,,,,,,,,,,,,,,,,0.3532624046699934
Western Sahara,2020-07-27,10,1,8,1,0,0,0,Africa,8,Africa,598682.0,10.0,,1.0,,8.0,,1.0,,17.0,2.0,,,Africa,0.8
Yemen,2020-07-27,1691,483,833,375,10,4,36,Eastern Mediterranean,833,Asia,29886897.0,1768.0,,508.0,,898.0,,362.0,,59.0,17.0,120.0,4.0,EasternMediterranean,0.4926079243051449
Zambia,2020-07-27,4552,140,2815,1597,71,1,465,Africa,2815,Africa,18430129.0,7164.0,,199.0,,5786.0,,1179.0,,389.0,11.0,90307.0,4900.0,Africa,0.6184094903339191
Zimbabwe,2020-07-27,2704,36,542,2126,192,2,24,Africa,542,Africa,14883803.0,4339.0,,84.0,,1264.0,,2991.0,,292.0,6.0,140421.0,9434.0,Africa,0.20044378698224852
